date,version,count
2022-06-24T06:37:50.130Z,0.0.1,19
2022-06-25T02:10:26.269Z,0.0.1,19
2022-06-26T02:21:03.138Z,0.0.1,43
2022-06-27T02:07:17.030Z,0.0.1,43
2022-06-28T02:05:12.178Z,0.0.1,45
2022-06-29T02:13:04.400Z,0.0.1,48
2022-06-30T02:10:39.682Z,0.0.1,49
2022-07-01T02:26:13.711Z,0.0.1,51
2022-07-02T02:06:37.586Z,0.0.1,33
2022-07-03T02:12:42.090Z,0.0.1,27
2022-07-04T02:21:00.222Z,0.0.1,25
2022-07-05T02:10:57.481Z,0.0.1,25
2022-07-06T02:23:30.393Z,0.0.1,23
2022-07-07T02:23:21.597Z,0.0.1,22
2022-07-08T02:14:22.764Z,0.0.1,27
2022-07-09T02:01:30.282Z,0.0.1,28
2022-07-10T02:23:21.413Z,0.0.1,11
2022-07-11T02:12:41.916Z,0.0.1,11
2022-07-12T02:22:55.732Z,0.0.1,11
2022-07-13T02:10:16.998Z,0.0.1,58
2022-07-14T02:22:22.294Z,0.0.1,58
2022-07-15T02:29:28.204Z,0.0.1,52
2022-07-16T02:08:23.423Z,0.0.1,52
2022-07-17T02:19:31.652Z,0.0.1,69
2022-07-18T02:15:11.332Z,0.0.1,69
2022-07-19T02:26:18.892Z,0.0.1,69
2022-07-20T02:10:29.295Z,0.0.1,34
2022-07-21T02:12:40.847Z,0.0.1,37
2022-07-22T02:15:05.697Z,0.0.1,48
2022-07-23T02:15:25.486Z,0.0.1,46
2022-07-24T02:21:19.879Z,0.0.1,46
2022-07-25T02:12:44.784Z,0.0.1,28
2022-07-25T02:12:44.784Z,1.0.0,28
2022-07-26T02:26:19.142Z,1.0.0,30
2022-07-26T02:26:19.142Z,0.0.1,28
2022-07-27T02:22:43.794Z,0.0.1,16
2022-07-27T02:22:43.794Z,1.0.0,32
2022-07-28T02:09:50.901Z,1.0.0,47
2022-07-28T02:09:50.901Z,1.0.1,35
2022-07-28T02:09:50.901Z,0.0.1,13
2022-07-29T02:23:40.733Z,1.0.0,61
2022-07-29T02:23:40.733Z,1.0.1,93
2022-07-29T02:23:40.733Z,0.0.1,1
2022-07-30T02:11:45.550Z,0.0.1,1
