date,version,count
2023-01-27T01:40:55.474Z,0.0.1,41

2023-01-28T01:39:57.679Z,0.0.1,58
2023-01-29T01:44:00.221Z,0.0.1,62
2023-01-29T01:44:00.221Z,0.0.2,49
2023-01-30T01:34:27.138Z,0.0.1,64
2023-01-30T01:34:27.138Z,0.0.2,54
2023-01-31T01:42:42.618Z,0.0.1,65
2023-01-31T01:42:42.618Z,0.0.2,57
2023-02-01T01:51:18.825Z,0.0.1,68
2023-02-01T01:51:18.825Z,0.0.2,59
2023-02-02T01:41:43.604Z,0.0.1,68
2023-02-02T01:41:43.604Z,0.0.2,59
2023-02-03T01:42:58.113Z,0.0.1,28
2023-02-03T01:42:58.113Z,0.0.2,60
2023-02-04T01:37:14.551Z,0.0.2,63
2023-02-04T01:37:14.551Z,0.0.1,11
2023-02-05T01:46:21.096Z,0.0.1,9
2023-02-05T01:46:21.096Z,0.0.2,16
2023-02-06T01:36:52.118Z,0.0.2,12
2023-02-06T01:36:52.118Z,0.0.1,7
2023-02-07T01:37:59.914Z,0.0.1,7
2023-02-07T01:37:59.914Z,0.0.2,9
2023-02-08T01:42:04.881Z,0.0.2,8
2023-02-08T01:42:04.881Z,0.0.1,4
2023-02-09T01:41:08.550Z,0.0.2,8
2023-02-09T01:41:08.550Z,0.0.1,4
2023-02-10T01:46:41.150Z,0.0.2,19
2023-02-10T01:46:41.150Z,0.0.1,3
2023-02-11T01:34:58.135Z,0.0.2,58
2023-02-11T01:34:58.135Z,0.0.1,3
2023-02-12T01:43:57.156Z,0.0.1,1
2023-02-12T01:43:57.156Z,0.0.2,103
2023-02-13T01:44:22.774Z,0.0.2,103
2023-02-13T01:44:22.774Z,0.0.1,3
2023-02-14T01:44:31.662Z,0.0.1,2
2023-02-14T01:44:31.662Z,0.0.2,109
2023-02-15T01:44:16.231Z,0.0.1,3
2023-02-15T01:44:16.231Z,0.0.2,150
2023-02-16T01:43:27.581Z,0.0.2,183
2023-02-16T01:43:27.581Z,0.0.1,3
2023-02-17T01:46:23.824Z,0.0.1,4
2023-02-17T01:46:23.824Z,0.0.2,192
2023-02-18T01:41:30.379Z,0.0.2,210
2023-02-18T01:41:30.379Z,0.0.1,4
2023-02-19T01:44:33.332Z,0.0.1,4
2023-02-19T01:44:33.332Z,0.0.2,205
2023-02-20T01:44:22.585Z,0.0.2,206
2023-02-20T01:44:22.585Z,0.0.1,3
2023-02-21T01:45:33.802Z,0.0.1,3
2023-02-21T01:45:33.802Z,0.0.2,200
2023-02-22T01:41:48.416Z,0.0.2,180
2023-02-22T01:41:48.416Z,0.0.1,2
2023-02-23T01:39:33.502Z,0.0.2,170
2023-02-23T01:39:33.502Z,0.0.1,2
2023-02-24T01:41:28.164Z,0.0.1,1
2023-02-24T01:41:28.164Z,0.0.2,162
2023-02-25T01:42:43.096Z,0.0.2,107
2023-02-25T01:42:43.096Z,0.0.1,1
2023-02-26T01:50:53.457Z,0.0.2,65
2023-02-26T01:50:53.457Z,0.0.1,1
2023-02-27T01:44:05.901Z,0.0.2,65
2023-02-28T01:43:31.813Z,0.0.2,65
2023-03-01T01:53:55.926Z,0.0.2,63
2023-03-02T01:49:16.121Z,0.0.2,43
2023-03-03T03:29:34.323Z,0.0.2,37
2023-03-04T01:40:55.697Z,0.0.2,46
2023-03-05T01:56:05.940Z,0.0.2,84
2023-03-06T01:46:20.983Z,0.0.2,82
2023-03-07T01:51:31.617Z,0.0.2,82
2023-03-08T01:48:02.547Z,0.0.3,66
2023-03-08T01:48:02.547Z,0.0.2,69
2023-03-09T01:48:25.667Z,0.0.2,71
2023-03-09T01:48:25.667Z,0.0.3,100
2023-03-10T01:48:24.087Z,0.0.3,111
2023-03-10T01:48:24.087Z,0.0.2,65
2023-03-10T01:48:24.087Z,0.0.1,1
2023-03-11T01:26:17.853Z,0.0.3,127
2023-03-11T01:26:17.853Z,0.0.2,54
2023-03-11T01:26:17.853Z,0.0.1,1
2023-03-12T01:45:43.728Z,0.0.3,144
2023-03-12T01:45:43.728Z,0.0.2,16
2023-03-12T01:45:43.728Z,0.0.1,1
2023-03-13T01:38:06.201Z,0.0.3,152
2023-03-13T01:38:06.201Z,0.0.2,16
2023-03-13T01:38:06.201Z,0.0.1,1
2023-03-14T01:20:24.260Z,0.0.3,154
2023-03-14T01:20:24.260Z,0.0.2,16
2023-03-14T01:20:24.260Z,0.0.1,1
2023-03-15T01:37:19.379Z,0.0.3,150
2023-03-15T01:37:19.379Z,0.0.2,13
2023-03-15T01:37:19.379Z,0.0.1,1
2023-03-16T01:37:38.351Z,0.0.3,168
2023-03-16T01:37:38.351Z,0.0.2,14
2023-03-16T01:37:38.351Z,0.0.1,1
2023-03-17T01:36:09.842Z,0.0.2,23
2023-03-17T01:36:09.842Z,0.0.3,213
2023-03-18T01:35:31.355Z,0.0.2,26
2023-03-18T01:35:31.355Z,0.0.3,225
2023-03-19T01:46:05.303Z,0.0.2,26
2023-03-19T01:46:05.303Z,0.0.3,241
2023-03-20T01:39:30.568Z,0.0.3,242
2023-03-20T01:39:30.568Z,0.0.2,26
2023-03-21T01:24:45.617Z,0.0.1,1
2023-03-21T01:24:45.617Z,0.0.3,249
2023-03-21T01:24:45.617Z,0.0.2,26
2023-03-22T01:26:04.193Z,0.0.1,1
2023-03-22T01:26:04.193Z,0.0.2,22
2023-03-22T01:26:04.193Z,0.0.3,219
2023-03-23T01:25:57.651Z,0.0.2,17
2023-03-23T01:25:57.651Z,0.0.3,195
2023-03-23T01:25:57.651Z,0.0.1,2
2023-03-24T01:25:43.119Z,0.0.1,2
2023-03-24T01:25:43.119Z,0.0.3,191
2023-03-24T01:25:43.119Z,0.0.2,7
2023-03-25T01:23:37.347Z,0.0.2,2
2023-03-25T01:23:37.347Z,0.0.3,193
2023-03-25T01:23:37.347Z,0.0.1,2
2023-03-26T01:38:49.294Z,0.0.3,205
2023-03-26T01:38:49.294Z,0.0.2,2
2023-03-26T01:38:49.294Z,0.0.1,2
2023-03-27T01:24:46.769Z,0.0.2,2
2023-03-27T01:24:46.769Z,0.0.1,2
2023-03-27T01:24:46.769Z,0.0.3,213
2023-03-28T01:34:52.255Z,0.0.2,2
2023-03-28T01:34:52.255Z,0.0.3,217
2023-03-28T01:34:52.255Z,0.0.1,1
2023-03-29T01:41:52.773Z,0.0.3,212
2023-03-29T01:41:52.773Z,0.0.2,3
2023-03-29T01:41:52.773Z,0.0.1,2
2023-03-30T01:35:05.726Z,0.0.3,224
2023-03-30T01:35:05.726Z,0.0.1,2
2023-03-30T01:35:05.726Z,0.0.2,3
2023-03-31T01:33:26.698Z,0.0.3,224
2023-03-31T01:33:26.698Z,0.0.1,2
2023-03-31T01:33:26.698Z,0.0.2,3
2023-04-01T01:26:53.804Z,0.0.2,2
2023-04-01T01:26:53.804Z,0.0.1,2
2023-04-01T01:26:53.804Z,0.0.3,199
2023-04-02T07:44:20.577Z,0.0.2,2
2023-04-02T07:44:20.577Z,0.0.1,2
2023-04-02T07:44:20.577Z,0.0.3,196
2023-04-03T06:23:08.126Z,0.0.3,199
2023-04-03T06:23:08.126Z,0.0.2,2
2023-04-03T06:23:08.126Z,0.0.1,2
2023-04-04T01:33:24.397Z,0.0.3,199
2023-04-04T01:33:24.397Z,0.0.2,2
2023-04-04T01:33:24.397Z,0.0.1,2
2023-04-05T06:25:37.040Z,0.0.4,65
2023-04-05T06:25:37.040Z,0.0.1,1
2023-04-05T06:25:37.040Z,0.0.3,252
2023-04-05T06:25:37.040Z,0.0.2,2
2023-04-06T01:22:09.327Z,0.0.4,65
2023-04-06T01:22:09.327Z,0.0.1,1
2023-04-06T01:22:09.327Z,0.0.3,252
2023-04-06T01:22:09.327Z,0.0.2,2
2023-04-07T01:18:59.869Z,0.0.3,314
2023-04-07T01:18:59.869Z,0.0.2,2
2023-04-07T01:18:59.869Z,0.0.1,2
2023-04-07T01:18:59.869Z,0.0.4,82
2023-04-08T01:19:53.065Z,0.0.2,2
2023-04-08T01:19:53.065Z,0.0.4,95
2023-04-08T01:19:53.065Z,0.0.3,278
2023-04-08T01:19:53.065Z,0.0.1,2
2023-04-09T01:25:11.834Z,0.0.3,269
2023-04-09T01:25:11.834Z,0.0.4,122
2023-04-09T01:25:11.834Z,0.0.1,2
2023-04-09T01:25:11.834Z,0.0.2,2
2023-04-10T01:22:25.490Z,0.0.3,266
2023-04-10T01:22:25.490Z,0.0.4,133
2023-04-10T01:22:25.490Z,0.0.2,2
2023-04-10T01:22:25.490Z,0.0.1,2
2023-04-11T01:23:09.924Z,0.0.1,2
2023-04-11T01:23:09.924Z,0.0.3,261
2023-04-11T01:23:09.924Z,0.0.4,145
2023-04-11T01:23:09.924Z,0.0.2,2
2023-04-12T01:23:15.645Z,0.0.4,115
2023-04-12T01:23:15.645Z,0.0.3,230
2023-04-12T01:23:15.645Z,0.0.2,2
2023-04-12T01:23:15.645Z,0.0.1,2
2023-04-13T01:21:35.608Z,0.0.2,1
2023-04-13T01:21:35.608Z,0.0.3,187
2023-04-13T01:21:35.608Z,0.0.1,3
2023-04-13T01:21:35.608Z,0.0.4,105
2023-04-14T01:23:10.290Z,0.0.1,2
2023-04-14T01:23:10.290Z,0.0.3,358
2023-04-14T01:23:10.290Z,0.0.2,1
