date,version,count

2022-11-10T02:06:00.572Z,0.0.1,62
2022-11-11T02:06:02.612Z,0.0.1,89
2022-11-12T02:01:20.806Z,0.0.1,94
2022-11-13T02:01:14.845Z,0.0.1,97
2022-11-14T01:59:43.006Z,0.0.1,99
2022-11-15T01:57:58.971Z,0.0.1,99
2022-11-16T01:58:40.099Z,0.0.1,102
2022-11-17T01:57:47.666Z,0.0.1,40
2022-11-18T02:01:48.243Z,0.0.1,14
2022-11-19T01:54:51.066Z,0.0.1,11
2022-11-20T02:02:34.149Z,0.0.1,10
2022-11-21T01:58:59.533Z,0.0.1,11
2022-11-22T02:00:20.193Z,0.0.1,12
2022-11-23T01:47:50.883Z,0.0.1,9
2022-11-24T01:50:40.516Z,0.0.1,11
2022-11-25T01:47:29.800Z,0.0.1,12
2022-11-26T01:42:38.999Z,0.0.1,10
2022-11-27T01:52:51.062Z,0.0.1,10
2022-11-28T01:45:42.881Z,0.0.1,8
2022-11-29T01:45:23.269Z,0.0.1,7
2022-11-30T01:46:37.477Z,0.0.1,7
2022-12-01T01:59:17.419Z,0.0.1,6
2022-12-02T01:38:20.621Z,0.0.1,4
2022-12-03T01:34:11.643Z,0.0.1,4
2022-12-04T01:40:31.001Z,0.0.1,3
2022-12-05T01:39:33.591Z,0.0.1,3
2022-12-06T01:37:14.387Z,0.0.1,4
2022-12-07T01:43:03.577Z,0.0.1,4
2022-12-08T01:39:06.340Z,0.0.1,3
2022-12-09T01:41:52.617Z,0.0.1,4
2022-12-10T01:35:37.012Z,0.0.1,4
2022-12-11T01:46:35.191Z,0.0.1,4
2022-12-12T01:42:07.036Z,0.0.1,5
2022-12-13T01:44:42.904Z,0.0.1,5
2022-12-13T01:44:42.904Z,0.0.2,47
2022-12-14T01:41:01.694Z,0.0.1,5
2022-12-14T01:41:01.694Z,0.0.2,60
2022-12-15T01:43:05.186Z,0.0.1,6
2022-12-15T01:43:05.186Z,0.0.2,64
2022-12-16T01:33:00.855Z,0.0.2,72
2022-12-16T01:33:00.855Z,0.0.1,5
2022-12-17T01:26:14.225Z,0.0.1,5
2022-12-17T01:26:14.225Z,0.0.2,73
2022-12-18T01:34:11.732Z,0.0.1,4
2022-12-18T01:34:11.732Z,0.0.2,73
2022-12-19T01:26:02.753Z,0.0.1,3
2022-12-19T01:26:02.753Z,0.0.2,74
2022-12-20T01:35:33.964Z,0.0.1,2
2022-12-20T01:35:33.964Z,0.0.2,29
